Link,Status
https://www.ihg.com/destinations/us/en/united-states/connecticut/hartford-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/connecticut/milford-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/connecticut/mystic-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/connecticut/newington-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/connecticut/norwalk-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/connecticut/norwich-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/connecticut/rocky-hill-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/connecticut/southington-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/connecticut/vernon-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/connecticut/windsor-locks-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/delaware/dover-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/delaware/harrington-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/delaware/middletown-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/delaware/millsboro-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/delaware/newark-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/delaware/rehoboth-beach-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/delaware/wilmington-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/ashland-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/bardstown-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/bellevue-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/berea-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/bowling-green-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/campbellsville-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/carrollton-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/corbin-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/covington-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/danville-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/dry-ridge-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/elizabethtown-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/erlanger-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/florence-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/frankfort-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/franklin-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/georgetown-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/glasgow-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/hazard-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/henderson-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/hillview-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/hopkinsville-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/horse-cave-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/la-grange-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/lexington-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/london-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/louisville-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/madisonville-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/middlesboro-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/mt-sterling-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/murray-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/nicholasville-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/oak-grove-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/owensboro-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/paducah-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/pikeville-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/radcliff-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/richmond-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/shelbyville-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/somerset-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/versailles-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/walton-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/wilder-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/williamsburg-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kentucky/winchester-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/abilene-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/andover-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/atchison-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/bonner-springs-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/chanute-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/coffeyville-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/colby-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/concordia-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/dodge-city-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/el-dorado-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/emporia-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/goodland-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/great-bend-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/hays-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/hutchinson-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/junction-city-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/kansas-city-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/lansing-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/lawrence-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/lenexa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/liberal-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/maize-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/manhattan-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/mcpherson-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/newton-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/olathe-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/ottawa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/overland-park-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/park-city-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/parsons-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/pittsburg-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/pratt-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/salina-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/shawnee-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/topeka-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/kansas/wichita-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/aberdeen-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/annapolis-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/baltimore-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/bel-air-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/belcamp-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/brunswick-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/california-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/cambridge-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/camp-springs-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/catonsville-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/clear-spring-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/college-park-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/delmar-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/easton-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/edgewood-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/elkridge-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/elkton-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/gaithersburg-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/grasonville-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/greenbelt-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/hagerstown-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/hanover-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/hunt-valley-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/hyattsville-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/jessup-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/la-plata-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/la-vale-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/lanham-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/largo-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/laurel-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/linthicum-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/linthicum-heights-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/north-east-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/ocean-city-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/owings-mills-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/pocomoke-city-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/prince-frederick-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/rockville-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/silver-spring-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/timonium-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/towson-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/waldorf-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/maryland/white-marsh-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/alaska/anchorage-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/alaska/fairbanks-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/idaho/boise-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/idaho/burley-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/idaho/coeur-dalene-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/idaho/idaho-falls-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/idaho/lewiston-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/idaho/meridian-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/idaho/nampa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/idaho/pocatello-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/idaho/twin-falls-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/massachusetts/auburn-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/massachusetts/boston-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/massachusetts/brockton-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/massachusetts/cambridge-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/massachusetts/chelmsford-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/massachusetts/chelsea-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/massachusetts/danvers-hotels,Success
