hotel_id,hotel_name,hotel_brand,sub_brand,hotel_code,image,hotel_address,hotel_zipcode,hotel_city,hotel_province,hotel_country,hotel_longitude,hotel_latitude,hotel_status
9341,Home2 Suites by Hilton Hangzhou East Railway Station,Hilton,HT,HGHXIHT,https://www.hilton.com/im/en/HGHXIHT/18198369/exterior.jpg?impolicy=crop&cw=5000&ch=3333&gravity=NorthWest&xposition=0&yposition=0&rw=300&rh=200,"Building 4, Fuyi Garden Center,",310000,Hangzhou,,China,120.219245,30.296568,Open
9342,Hilton Garden Inn Hangzhou Xixi Zijingang,Hilton,GI,HGHXXGI,https://www.hilton.com/im/en/HGHXXGI/17740243/entrance.jpg?impolicy=crop&cw=5000&ch=3333&gravity=NorthWest&xposition=0&yposition=208&rw=300&rh=200,"No. 492 Fengqing road, Gongshu",310015,Hangzhou,,China,120.105019,30.332857,Open
9343,Hampton by Hilton Hangzhou Yunhe,Hilton,HP,HGHHTHX,https://www.hilton.com/im/en/HGHHTHX/9589414/exterior.jpg?impolicy=crop&cw=4000&ch=2660&gravity=NorthWest&xposition=0&yposition=170&rw=200&rh=133,"No. 1025 Hangxing Rd,",310015,Hangzhou,,China,120.115404,30.343947,Open
9344,Hampton by Hilton Hangzhou Olympic Center,Hilton,HP,HGHHZHX,https://www.hilton.com/im/en/HGHHZHX/10284106/exterior.jpg?impolicy=crop&cw=4851&ch=3226&gravity=NorthWest&xposition=671&yposition=0&rw=200&rh=133,"No.208 Feihong Road,",310053,Hangzhou,,China,120.2276053223,30.226313008,Open
9345,Hampton by Hilton Hangzhou Binjiang,Hilton,HP,HGHBJHX,https://www.hilton.com/im/en/HGHBJHX/7931723/exterior.jpg?impolicy=crop&cw=5467&ch=3644&gravity=NorthWest&xposition=0&yposition=377&rw=300&rh=200,"No.599 Binfen Road,",310051,Hangzhou,,China,120.2245804,30.2147697932,Open
9346,Hampton Apartments by Hilton Hangzhou Olympic Center,Hilton,HP,HGHOCHX,https://www.hilton.com/im/en/HGHOCHX/14909837/exterior.jpg?impolicy=crop&cw=6009&ch=3995&gravity=NorthWest&xposition=0&yposition=2&rw=200&rh=133,"208 Feihong Rd, Binjiang District,",310051,Hangzhou,,China,120.2447,30.223141,Open
9347,Hampton by Hilton Hangzhou Qianjiang Century City,Hilton,HP,HGHCCHX,https://www.hilton.com/im/en/HGHCCHX/7938392/exterior.jpg?impolicy=crop&cw=4793&ch=3187&gravity=NorthWest&xposition=0&yposition=646&rw=200&rh=133,"No.159 Haoyue Road,",311215,Hangzhou,,China,120.254702,30.234049,Open
9348,Hilton Garden Inn Hangzhou Xiaoshan,Hilton,GI,HGHUKGI,https://www.hilton.com/im/en/HGHUKGI/18703288/outside-2-.jpg?impolicy=crop&cw=5000&ch=3325&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,"No.737, Lifeng Rd, Xiaoshan Distric",311200,Hangzhou,,China,120.25766,30.230122,Open
9349,Hampton by Hilton Hangzhou Future Technology City,Hilton,HP,HGHOUHX,https://www.hilton.com/im/en/HGHOUHX/10726191/exterior.jpg?impolicy=crop&cw=6720&ch=4480&gravity=NorthWest&xposition=0&yposition=0&rw=300&rh=200,"No.2 Building, No.990 Xiangwang St.",310013,Hangzhou,,China,120.016859,30.286182,Open
9350,Hampton by Hilton Hangzhou Liangzhu,Hilton,HP,HGHHGHX,https://www.hilton.com/im/en/NoHotel/14937137/cnhx-generic-lobby-01.jpg?impolicy=crop&cw=6721&ch=4480&gravity=NorthWest&xposition=0&yposition=0&rw=300&rh=200,"No.1900 Gudun Road,Yuhang District",311100,Hangzhou,,China,120.06047514219,30.36690191255,
